message,category
When will my order be delivered?,Inquiry
I want to know the status of my refund.,Inquiry
The product arrived damaged.,Complaint
The delivery is delayed again!,Complaint
Great customer service!,Feedback
I love your quick response time!,Feedback
Can you help me change my address?,Request
Please update my phone number.,Request
Where can I track my shipment?,Inquiry
The item I received is incorrect.,Complaint
Kudos to your team!,Feedback
I would like to cancel my order.,Request
Why is my payment still pending?,Inquiry
"Received wrong item, very disappointed.",Complaint
Amazing shopping experience!,Feedback
Can you provide an estimated delivery date for my order?,Inquiry
Has my payment been successfully processed?,Inquiry
Is this item available for purchase?,Inquiry
What are the warranty details for this product?,Inquiry
How do I apply a discount code to my purchase?,Inquiry
"My package arrived late, and I am not happy about it.",Complaint
The quality of the item does not match the description.,Complaint
I received a defective product—what should I do next?,Complaint
I was charged incorrectly—please fix this issue.,Complaint
The customer service response time is too slow.,Complaint
Your platform is user-friendly and easy to navigate!,Feedback
I appreciate how seamless the checkout process was.,Feedback
The packaging was excellent—no damages at all!,Feedback
Your team handled my issue efficiently—thank you!,Feedback
I'm impressed by your wide range of product choices.,Feedback
I need assistance with updating my billing information.,Request
Can I reschedule my delivery for a different date?,Request
Please help me apply a gift card to my order.,Request
I want to change the color of the item I ordered.,Request
Can I add an extra item to my existing order?,Request
I need help resetting my account password.,Request
The app keeps crashing when I try to open it.,Complaint
Thank you for the prompt delivery!,Feedback
How do I return an item I purchased?,Inquiry
My order was cancelled without explanation.,Complaint
Excellent packaging and fast shipping.,Feedback
Can I get an invoice for my last purchase?,Request
Is there a warranty on electronics?,Inquiry
The replacement item was also defective.,Complaint
Very satisfied with your service.,Feedback
I need a replacement for my broken charger.,Request
The website is not loading on my browser.,Complaint
Your staff was very polite and helpful.,Feedback
How do I update my shipping address?,Inquiry
I want to unsubscribe from promotional emails.,Request
The payment gateway failed during checkout.,Complaint
Loved the packaging and presentation!,Feedback
Can I change my delivery slot?,Request
Is there a return policy for electronics?,Inquiry
"Received an empty box, please assist.",Complaint
The app interface is very user-friendly.,Feedback
How do I track my refund status?,Inquiry
I want to delete my account.,Request
The product was missing accessories.,Complaint
Thank you for resolving my issue quickly.,Feedback
Can I get a call back from support?,Request
Is there a student discount available?,Inquiry
The delivery person was rude.,Complaint
Appreciate the fast response from your team.,Feedback
How do I change my payment method?,Inquiry
I want to pause my subscription.,Request
Received a used product instead of new.,Complaint
Great offers and deals on your platform!,Feedback
Can I split my order into two shipments?,Request
Is there a loyalty program?,Inquiry
The product color is different from the image.,Complaint
Very happy with the after-sales service.,Feedback
How do I activate my warranty?,Inquiry
I want to update my email address.,Request
The order was delivered to the wrong address.,Complaint
Thank you for the birthday discount!,Feedback
Can I get a digital copy of my invoice?,Request
Is there a way to expedite shipping?,Inquiry
Received a product with expired warranty.,Complaint
Loved the eco-friendly packaging.,Feedback
How do I redeem my reward points?,Inquiry
I want to change my subscription plan.,Request
The product was not as described.,Complaint
Excellent customer support experience.,Feedback
Can I get a replacement instead of refund?,Request
Is there a helpline for urgent issues?,Inquiry
The delivery was rescheduled without notice.,Complaint
Appreciate the regular order updates.,Feedback
How do I check my order history?,Inquiry
I want to add a new address to my profile.,Request
Received a product with missing parts.,Complaint
Great job on the festive packaging!,Feedback
Can I get a GST invoice?,Request
Is there a way to contact the seller directly?,Inquiry
The product was delivered late at night.,Complaint
Very pleased with the product quality.,Feedback
How do I cancel my subscription?,Request
I want to change my preferred language.,Request
The product was not sealed properly.,Complaint
Thank you for the free sample!,Feedback
Can I get a price match on my order?,Request
Is there a referral program?,Inquiry
Received a product with scratches.,Complaint
Loved the handwritten thank you note.,Feedback
How do I update my contact number?,Inquiry
I want to opt out of SMS notifications.,Request
The product was not packed securely.,Complaint
Great deals during the sale!,Feedback
Can I get a demo before purchase?,Request
Is there a way to track the delivery person?,Inquiry
Received a product with a broken seal.,Complaint
Very impressed with the quick delivery.,Feedback
How do I change my account password?,Inquiry
I want to merge two accounts.,Request
The product was not delivered as promised.,Complaint
Thank you for the loyalty bonus!,Feedback
Can I get a call from a product expert?,Request
Is there a way to get early access to sales?,Inquiry
Received a product with a manufacturing defect.,Complaint
Loved the festive discount offers.,Feedback
How do I check my wallet balance?,Inquiry
I want to update my profile picture.,Request
The product was not delivered on time.,Complaint
Thank you for the personalized message!,Feedback
Can I get a replacement for a defective item?,Request
Is there a way to get a faster refund?,Inquiry
Received a product with a missing manual.,Complaint
Very happy with the packaging quality.,Feedback
How do I check my loyalty points?,Inquiry
I want to change my registered email.,Request
The product was not as per the description.,Complaint
Thank you for the quick exchange process!,Feedback
Can I get a call from customer care?,Request
Is there a way to get a paper bill?,Inquiry
Received a product with a torn label.,Complaint
Loved the easy checkout process.,Feedback
How do I update my delivery instructions?,Inquiry
I want to change my default address.,Request
The product was not delivered in good condition.,Complaint
Thank you for the festive greetings!,Feedback
Can I get a call from the delivery agent?,Request
Is there a way to get a digital receipt?,Inquiry
Received a product with a damaged box.,Complaint
Very satisfied with the overall experience.,Feedback
